scenario_id,tier_config,ground_truth_class,actual_verdict,false_accept,false_reject,abstention,abstention_correct,abstention_failure,defeated_tier,contract_rule_invoked,evidence_used,observed_exe,observed_argv,observed_resource_lineage,image_sha256,note
01_genuine_target,0,AUTHENTIC_TARGET,UNKNOWN,False,False,True,False,True,False,R1_no_surface_evidence,target_kind=resource ; target_resource=/lab/work/pre_existing_report.png,/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,neither display nor process fields
01_genuine_target,0+A,AUTHENTIC_TARGET,UNKNOWN,False,False,True,False,True,False,R1_no_surface_evidence,target_kind=resource ; target_resource=/lab/work/pre_existing_report.png,/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,neither display nor process fields
01_genuine_target,0+A+B,AUTHENTIC_TARGET,UNKNOWN,False,False,True,False,True,False,R5_no_display_fields_fullscreen,target_kind=resource ; target_resource=/lab/work/pre_existing_report.png,/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,full-screen capture and no display composition fields
01_genuine_target,0+A+B+C,AUTHENTIC_TARGET,UNKNOWN,False,False,True,False,True,False,R5_no_display_fields_fullscreen,target_kind=resource ; target_resource=/lab/work/pre_existing_report.png,/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,full-screen capture and no display composition fields
01_genuine_target,0+A+B+C+D,AUTHENTIC_TARGET,AUTHENTIC_TARGET,False,False,False,False,False,False,R_displayed_resource_is_target,"target_kind=resource ; target_resource=/lab/work/pre_existing_report.png ; capture_region=fullscreen:1280x1024x24 ; visible_window_set=['ImageMagick: pre_existing_report.png:47'] ; z_order=['0x200064', '0x20005f', '0x200052', '0x200053', '0x200054', '0x200055', '0x200056', '0x200059', '0x20005d', '0x200060', '0x200062', '0x20000e', '0x40000c', '0x40001e', '0x400025', '0x40002c', '0x400038', '0x40003b'] ; resolved_surface=0x200064 ; executable=display-im6.q16 ; command_line='display -geometry 900x640+80+60 /lab/work/pre_existing_report.png' ; displayed_resource=/lab/work/pre_existing_report.png (via displayed_resource_lineage) ; resource_lineage=/lab/work/pre_existing_report.png:pre_existing",/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,resolved surface is displaying the declared target resource
01_genuine_target,0+A+B+C+D+E,AUTHENTIC_TARGET,AUTHENTIC_TARGET,False,False,False,False,False,False,R_displayed_resource_is_target,"target_kind=resource ; target_resource=/lab/work/pre_existing_report.png ; capture_region=fullscreen:1280x1024x24 ; visible_window_set=['ImageMagick: pre_existing_report.png:47'] ; z_order=['0x200064', '0x20005f', '0x200052', '0x200053', '0x200054', '0x200055', '0x200056', '0x200059', '0x20005d', '0x200060', '0x200062', '0x20000e', '0x40000c', '0x40001e', '0x400025', '0x40002c', '0x400038', '0x40003b'] ; resolved_surface=0x200064 ; executable=display-im6.q16 ; command_line='display -geometry 900x640+80+60 /lab/work/pre_existing_report.png' ; displayed_resource=/lab/work/pre_existing_report.png (via displayed_resource_lineage) ; resource_lineage=/lab/work/pre_existing_report.png:pre_existing",/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,resolved surface is displaying the declared target resource
01_genuine_target,FULL(0+A..F),AUTHENTIC_TARGET,AUTHENTIC_TARGET,False,False,False,False,False,False,R_displayed_resource_is_target,"target_kind=resource ; target_resource=/lab/work/pre_existing_report.png ; capture_region=fullscreen:1280x1024x24 ; visible_window_set=['ImageMagick: pre_existing_report.png:47'] ; z_order=['0x200064', '0x20005f', '0x200052', '0x200053', '0x200054', '0x200055', '0x200056', '0x200059', '0x20005d', '0x200060', '0x200062', '0x20000e', '0x40000c', '0x40001e', '0x400025', '0x40002c', '0x400038', '0x40003b'] ; resolved_surface=0x200064 ; executable=display-im6.q16 ; command_line='display -geometry 900x640+80+60 /lab/work/pre_existing_report.png' ; displayed_resource=/lab/work/pre_existing_report.png (via displayed_resource_lineage) ; resource_lineage=/lab/work/pre_existing_report.png:pre_existing",/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,resolved surface is displaying the declared target resource
01_genuine_target,iso:D,AUTHENTIC_TARGET,UNKNOWN,False,False,True,False,True,False,R3_no_identity_binding,"target_kind=resource ; target_resource=/lab/work/pre_existing_report.png ; capture_region=fullscreen:1280x1024x24 ; visible_window_set=['ImageMagick: pre_existing_report.png:47'] ; z_order=['0x200064', '0x20005f', '0x200052', '0x200053', '0x200054', '0x200055', '0x200056', '0x200059', '0x20005d', '0x200060', '0x200062', '0x20000e', '0x40000c', '0x40001e', '0x400025', '0x40002c', '0x400038', '0x40003b'] ; resolved_surface=0x200064",/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,surface resolved but no process identity; labels cannot confirm
01_genuine_target,iso:B,AUTHENTIC_TARGET,UNKNOWN,False,False,True,False,True,False,R5_no_display_fields_fullscreen,target_kind=resource ; target_resource=/lab/work/pre_existing_report.png,/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,full-screen capture and no display composition fields
01_genuine_target,iso:C,AUTHENTIC_TARGET,UNKNOWN,False,False,True,False,True,False,R1_no_surface_evidence,target_kind=resource ; target_resource=/lab/work/pre_existing_report.png,/usr/bin/display-im6.q16,display -geometry 900x640+80+60 /lab/work/pre_existing_report.png,/lab/work/pre_existing_report.png:pre_existing,6899b595032a91ccb688ebbb5e95f2ef77374fec59ee6a3151aae94708fb0e4c,neither display nor process fields
